name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rowupdate
K2-285 c,508,15.68 Earths,12.03,2018,,Neptune-like,2018,15.68 Earths,0.315 x Jupiter,0.0824 AU,7.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-12-2018
K2-285 d,508,6.5 Earths,12.03,2018,,Neptune-like,2018,6.5 Earths,0.221 x Jupiter,0.1178 AU,10.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-12-2018
K2-285 e,508,10.7 Earths,12.03,2018,,Neptune-like,2018,10.7 Earths,1.95 x Earth,0.18041 AU,14.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-12-2018
K2-286 b,249,5.06 Earths,12.763,2018,,Neptune-like,2018,5.06 Earths,2.1 x Earth,0.1768 AU,27.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-12-2018
K2-287 b,519,0.315 Jupiters,11.41,2018,,Gas Giant,2018,0.315 Jupiters,0.847 x Jupiter,0.1206 AU,14.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-01-2019
K2-288 B b,214,4.27 Earths,13.868,2018,,Super Earth,2018,4.27 Earths,1.9 x Earth,0.164 AU,31.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-01-2019
K2-289 b,883,0.192 Jupiters,14.465,2019,,Gas Giant,2019,0.192 Jupiters,0.812 x Jupiter,0.107 AU,13.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-01-2019
K2-28 b,206,5.99 Earths,16.061,2016,,Neptune-like,2016,5.99 Earths,0.207 x Jupiter,0.0214 AU,2.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-01-2019
K2-290 b,897,10.9 Earths,11.114,2019,,Super Earth,2019,10.9 Earths,0.273 x Jupiter,0.0923 AU,9.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-03-2016
K2-290 c,897,0.774 Jupiters,11.114,2019,,Gas Giant,2019,0.774 Jupiters,1.006 x Jupiter,0.305 AU,48.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-01-2019
K2-291 b,295,6.49 Earths,10.014,2019,,Super Earth,2019,6.49 Earths,1.589 x Earth,0.03261 AU,2.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-01-2019
K2-292 b,373,24.5 Earths,9.917,2019,,Neptune-like,2019,24.5 Earths,0.235 x Jupiter,0.13 AU,17 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-01-2019
K2-293 b,1294,6.57 Earths,13.357,2019,,Neptune-like,2019,6.57 Earths,0.219 x Jupiter,Unknown,13.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-02-2019
K2-294 b,1230,3.39 Earths,12.502,2019,,Super Earth,2019,3.39 Earths,1.66 x Earth,Unknown,2.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-04-2019
K2-295 b,736,0.335 Jupiters,13.946,2018,,Gas Giant,2018,0.335 Jupiters,0.897 x Jupiter,0.0451 AU,4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-04-2019
K2-29 b,585,0.73 Jupiters,12.526,2016,,Gas Giant,2016,0.73 Jupiters,1.19 x Jupiter,0.04217 AU,3.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-05-2019
K2-308 b,,0.222 Jupiters,14.963,2019,,Gas Giant,2019,0.222 Jupiters,0.884 x Jupiter,Unknown,3.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-05-2020
K2-30 b,1097,0.579 Jupiters,13.53,2016,,Gas Giant,2016,0.579 Jupiters,1.039 x Jupiter,0.04839 AU,4.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-05-2020
K2-315 b,185,0.809 Earths,17.67,2020,,Terrestrial,2020,0.809 Earths,0.95 x Earth,Unknown,3.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-05-2020
K2-316 b,368,2.33 Earths,15.514,2020,,Super Earth,2020,2.33 Earths,1.33 x Earth,0.0147 AU,1.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-04-2016
K2-316 c,368,4.01 Earths,15.514,2020,,Super Earth,2020,4.01 Earths,1.83 x Earth,0.0582 AU,5.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
K2-317 b,578,8.91 Earths,16.639,2020,,Neptune-like,2020,8.91 Earths,0.261 x Jupiter,0.0542 AU,6.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-12-2016
K2-318 b,484,3.39 Earths,15.269,2020,,Super Earth,2020,3.39 Earths,1.66 x Earth,0.0911 AU,7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-08-2020
K2-319 b,687,8.2 Earths,12.172,2020,,Neptune-like,2020,8.2 Earths,0.249 x Jupiter,0.1516 AU,26.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-09-2020
K2-31 b,362,1.774 Jupiters,10.775,2016,,Gas Giant,2016,1.774 Jupiters,1.06 x Jupiter,0.022 AU,1.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-09-2020
K2-320 b,356,7.37 Earths,16.355,2020,,Neptune-like,2020,7.37 Earths,0.234 x Jupiter,0.0142 AU,2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-09-2020
K2-321 b,254,4.46 Earths,13.677,2020,,Super Earth,2020,4.46 Earths,1.95 x Earth,0.041 AU,2.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-09-2020
K2-322 b,404,4.35 Earths,13.941,2020,,Super Earth,2020,4.35 Earths,1.92 x Earth,0.0594 AU,8.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-09-2020
K2-323 b,387,5.06 Earths,14.932,2020,,Neptune-like,2020,5.06 Earths,2.1 x Earth,0.1275 AU,24.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
K2-324 b,447,6.48 Earths,15.399,2020,,Neptune-like,2020,6.48 Earths,0.217 x Jupiter,0.0331 AU,3.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
K2-325 b,365,5.48 Earths,16.137,2020,,Neptune-like,2020,5.48 Earths,2.2 x Earth,0.0419 AU,6.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
K2-326 b,928,5.82 Earths,15.342,2020,,Neptune-like,2020,5.82 Earths,0.203 x Jupiter,0.0198 AU,1.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
K2-32 b,517,16.5 Earths,12.31,2016,,Neptune-like,2016,16.5 Earths,0.443 x Jupiter,0.08035 AU,9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-09-2020
K2-32 c,517,12.1 Earths,12.31,2016,,Neptune-like,2016,12.1 Earths,0.244 x Jupiter,0.1399 AU,20.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-09-2020
K2-32 d,517,10.3 Earths,12.31,2016,,Neptune-like,2016,10.3 Earths,0.292 x Jupiter,0.1862 AU,31.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-09-2020
K2-32 e,517,1.01 Earths,12.31,2019,,Super Earth,2019,1.01 Earths,1.01 x Earth,0.04951 AU,4.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-09-2020
K2-33 b,456,3.7 Jupiters,15.714,2016,,Neptune-like,2016,3.7 Jupiters,0.45 x Jupiter,0.0409 AU,5.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-09-2020
K2-34 b,1149,1.698 Jupiters,11.548,2016,,Gas Giant,2016,1.698 Jupiters,1.245 x Jupiter,0.0426 AU,3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-09-2020
K2-35 b,830,4.38 Earths,14.35,2016,,Super Earth,2016,4.38 Earths,1.93 x Earth,0.055 AU,5.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-09-2020
K2-35 c,830,2.3 Earths,14.35,2016,,Super Earth,2016,2.3 Earths,1.32 x Earth,0.031 AU,2.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-06-2016
K2-36 b,359,3.9 Earths,11.8,2016,,Super Earth,2016,3.9 Earths,1.43 x Earth,0.0223 AU,1.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2018
K2-36 c,359,7.8 Earths,11.8,2016,,Neptune-like,2016,7.8 Earths,0.285 x Jupiter,0.054 AU,5.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2017
K2-37 b,590,3.22 Earths,12.52,2016,,Super Earth,2016,3.22 Earths,1.61 x Earth,0.0511 AU,4.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2017
K2-37 c,590,8 Earths,12.52,2016,,Neptune-like,2016,8 Earths,0.245 x Jupiter,0.0654 AU,6.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-08-2019
K2-37 d,590,7.9 Earths,12.52,2016,,Neptune-like,2016,7.9 Earths,0.244 x Jupiter,0.1103 AU,14.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-08-2019
K2-38 b,632,19.0698 Earths,11.39,2016,,Super Earth,2016,19.0698 Earths,1.906 x Earth,0.05073 AU,4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-07-2016
K2-38 c,632,9.9 Earths,11.39,2016,,Super Earth,2016,9.9 Earths,0.216 x Jupiter,0.0964 AU,10.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-07-2016
K2-39 b,1012,28.6047 Earths,10.83,2016,,Neptune-like,2016,28.6047 Earths,0.56 x Jupiter,0.05708 AU,4.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-07-2016
K2-3 b,147,6.48 Earths,12.17,2015,,Super Earth,2015,6.48 Earths,1.98 x Earth,0.074 AU,10.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-04-2018
K2-3 c,147,2.14 Earths,12.17,2015,,Super Earth,2015,2.14 Earths,1.56 x Earth,0.1345 AU,24.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-07-2016
K2-3 d,147,2.8 Earths,12.17,2015,,Super Earth,2015,2.8 Earths,1.53 x Earth,0.2097 AU,44.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-04-2018
K2-42 b,1309,5.27 Earths,15.023,2016,,Neptune-like,2016,5.27 Earths,2.15 x Earth,0.0617 AU,6.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2017
K2-43 b,599,18.5 Earths,15.596,2016,,Neptune-like,2016,18.5 Earths,0.402 x Jupiter,0.03784 AU,3.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-43 c,599,6.44 Earths,15.596,2019,,Neptune-like,2019,6.44 Earths,0.216 x Jupiter,Unknown,2.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-08-2019
K2-44 b,1576,7.85 Earths,12.189,2016,,Neptune-like,2016,7.85 Earths,0.243 x Jupiter,0.0651 AU,5.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-08-2019
K2-45 b,1639,36.4 Earths,15.78,2016,,Neptune-like,2016,36.4 Earths,0.599 x Jupiter,0.0224 AU,1.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-46 b,1484,4.86 Earths,12.029,2016,,Super Earth,2016,4.86 Earths,2.05 x Earth,0.13821 AU,19.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-47 b,1153,4.23 Earths,14.085,2016,,Super Earth,2016,4.23 Earths,1.89 x Earth,0.1779 AU,31.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-48 b,1033,5.65 Earths,14.277,2016,,Neptune-like,2016,5.65 Earths,0.2 x Jupiter,0.1344 AU,20.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-49 b,1511,4.38 Earths,15.668,2016,,Super Earth,2016,4.38 Earths,1.93 x Earth,0.0309 AU,2.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-4 b,761,5.06 Earths,14.907,2015,,Neptune-like,2015,5.06 Earths,2.1 x Earth,0.078 AU,10 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-50 b,846,3.15 Earths,14.717,2016,,Super Earth,2016,3.15 Earths,1.59 x Earth,0.0705 AU,8.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-07-2016
K2-52 b,3398,144 Jupiters,15.255,2016,,Gas Giant,2016,144 Jupiters,1.606 x Jupiter,0.054 AU,3.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-07-2016
K2-53 b,454,7.27 Earths,12.148,2016,,Neptune-like,2016,7.27 Earths,0.232 x Jupiter,0.098 AU,12.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-54 b,574,1.6 Earths,14.042,2016,,Super Earth,2016,1.6 Earths,1.15 x Earth,0.0671 AU,9.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-01-2019
K2-55 b,523,14 Earths,13.546,2016,,Neptune-like,2016,14 Earths,0.341 x Jupiter,0.03486 AU,2.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-01-2019
K2-57 b,868,5.06 Earths,14.501,2016,,Neptune-like,2016,5.06 Earths,2.1 x Earth,0.0746 AU,9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-58 b,596,7.65 Earths,12.378,2016,,Neptune-like,2016,7.65 Earths,0.239 x Jupiter,0.0692 AU,7.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-58 c,596,3.26 Earths,12.378,2016,,Super Earth,2016,3.26 Earths,1.62 x Earth,0.035 AU,2.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-58 d,596,3.57 Earths,12.378,2016,,Super Earth,2016,3.57 Earths,1.71 x Earth,0.1517 AU,22.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-59 b,1025,6.39 Earths,14.226,2016,,Neptune-like,2016,6.39 Earths,0.215 x Jupiter,0.1354 AU,20.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-59 c,1025,5.9 Earths,14.226,2016,,Neptune-like,2016,5.9 Earths,0.205 x Jupiter,0.0905 AU,11.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-5 b,666,4.31 Earths,14.91,2015,,Super Earth,2015,4.31 Earths,1.91 x Earth,0.0532 AU,5.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-5 c,666,5.73 Earths,14.91,2015,,Neptune-like,2015,5.73 Earths,0.202 x Jupiter,0.0818 AU,10.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-60 b,1627,0.426 Jupiters,12.789,2016,,Gas Giant,2016,0.426 Jupiters,0.683 x Jupiter,0.045 AU,3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-07-2015
K2-61 b,1339,6.71 Earths,12.991,2016,,Neptune-like,2016,6.71 Earths,0.221 x Jupiter,0.0392 AU,2.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-02-2017
K2-62 b,368,5.22 Earths,12.397,2016,,Neptune-like,2016,5.22 Earths,2.14 x Earth,0.0636 AU,6.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-62 c,368,5.22 Earths,12.397,2016,,Neptune-like,2016,5.22 Earths,2.14 x Earth,0.1148 AU,16.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-63 b,1711,10.5 Earths,12.876,2016,,Neptune-like,2016,10.5 Earths,0.287 x Jupiter,0.1627 AU,20.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-63 c,1711,14.5 Earths,12.876,2016,,Neptune-like,2016,14.5 Earths,0.348 x Jupiter,0.189 AU,25.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-64 b,1653,4.94 Earths,14.086,2016,,Super Earth,2016,4.94 Earths,2.07 x Earth,0.0619 AU,6.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-03-2019
K2-65 b,255,3.12 Earths,10.801,2016,,Super Earth,2016,3.12 Earths,1.58 x Earth,0.1014 AU,12.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-66 b,1698,21.3 Earths,11.71,2016,,Super Earth,2016,21.3 Earths,0.222 x Jupiter,0.05983 AU,5.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-68 b,553,3.12 Earths,12.977,2016,,Super Earth,2016,3.12 Earths,1.58 x Earth,0.0708 AU,8.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-07-2019
K2-69 b,592,5.99 Earths,15.057,2016,,Neptune-like,2016,5.99 Earths,0.207 x Jupiter,0.0591 AU,7.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-6 b,1043,6.8 Earths,12.654,2015,,Neptune-like,2015,6.8 Earths,0.223 x Jupiter,0.1898 AU,30.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-70 b,765,8.7 Earths,12.989,2016,,Neptune-like,2016,8.7 Earths,0.258 x Jupiter,0.1112 AU,14 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-07-2015
K2-71 b,502,5.27 Earths,15.189,2016,,Neptune-like,2016,5.27 Earths,2.15 x Earth,0.0559 AU,7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-72 b,217,1.28 Earths,15.309,2016,,Super Earth,2016,1.28 Earths,1.08 x Earth,0.04 AU,5.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-72 c,217,1.65 Earths,15.309,2016,,Super Earth,2016,1.65 Earths,1.16 x Earth,0.078 AU,15.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2017
K2-72 d,217,1.01 Earths,15.309,2016,,Super Earth,2016,1.01 Earths,1.01 x Earth,0.05 AU,7.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2017
K2-72 e,217,2.21 Earths,15.309,2016,,Super Earth,2016,2.21 Earths,1.29 x Earth,0.106 AU,24.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2017
K2-73 b,885,6.57 Earths,11.345,2016,,Neptune-like,2016,6.57 Earths,0.219 x Jupiter,0.07619 AU,7.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2017
K2-74 b,1246,5.95 Earths,12.588,2016,,Neptune-like,2016,5.95 Earths,0.206 x Jupiter,0.1402 AU,19.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-75 b,1862,7.61 Earths,12.701,2016,,Neptune-like,2016,7.61 Earths,0.238 x Jupiter,0.081 AU,7.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
